country,year,solar_yoy_growth_pct,wind_yoy_growth_pct,renewables_yoy_growth_pct
Netherlands,2007,0,25.5,-5.8
Netherlands,2008,0,23.8,25.6
Netherlands,2009,0,7.5,13.6
Netherlands,2010,50,-12.9,3.3
Netherlands,2011,66.7,27.8,10.1
Netherlands,2012,90,-2.4,1.2
Netherlands,2013,115.8,13.1,-3
Netherlands,2014,78,3,-3.7
Netherlands,2015,52.1,30.2,17.5
Netherlands,2016,44.1,8.2,8
Netherlands,2017,37.5,29.4,17.9
Netherlands,2018,68.6,-0.2,8.3
Netherlands,2019,45.6,9.1,20.8
Netherlands,2020,58.7,32.7,43.6
Netherlands,2021,31.9,18.7,23.6
Netherlands,2022,47.4,19,18.9
Netherlands,2023,17.7,36.9,18.2
Netherlands,2024,11.3,13.4,9.2
Netherlands,2025,30.6,0.7,11.3
Norway,2000,,,
Norway,2001,,0,-15
Norway,2002,,166.7,7.4
Norway,2003,,175,-18.2
Norway,2004,,13.6,3.2
Norway,2005,,100,24.8
Norway,2006,,28,-11.8
Norway,2007,,39.1,12.1
Norway,2008,,2.2,4
Norway,2009,,6.6,-9.9
Norway,2010,,-10.3,-6.7
Norway,2011,,48.3,3.3
Norway,2012,,19.4,17.8
Norway,2013,,22.1,-9.2
Norway,2014,,18.1,5.8
Norway,2015,,13.5,1.5
Norway,2016,,-16.3,3.6
Norway,2017,,35.1,0.2
Norway,2018,,35.8,-1.7
Norway,2019,,42.6,-8.4
Norway,2020,700,79.5,16
Norway,2021,37.5,18.7,2.7
Norway,2022,54.5,25.9,-8.1
Norway,2023,111.8,-5.7,5.5
Norway,2024,47.2,4.6,2.4
Norway,2025,0,-7.1,2.8
Pakistan,2000,,,
Pakistan,2001,,,10.2
Pakistan,2002,,,18
Pakistan,2003,,,25.9
Pakistan,2004,,,-4.5
Pakistan,2005,,,18.6
Pakistan,2006,,,3.6
Pakistan,2007,,,-9.2
Pakistan,2008,,,-3
Pakistan,2009,,,0.1
Pakistan,2010,,0,12.8
Pakistan,2011,200,100,-9.6
Pakistan,2012,133.3,-50,4.8
Pakistan,2013,100,3900,8.5
Pakistan,2014,71.4,100,4.9
Pakistan,2015,58.3,-1.2,7.1
Pakistan,2016,78.9,68.4,-5.5
Pakistan,2017,35.3,57.9,-9
Pakistan,2018,0,50.5,1.5
Pakistan,2019,183.7,-8.9,23.1
Pakistan,2020,57.1,0.7,3.7
Pakistan,2021,41.2,57.9,8.2
Pakistan,2022,33.3,38.4,10.4
Pakistan,2023,47,-4.6,12.9
Pakistan,2024,74.7,-14.7,14
Pakistan,2025,84.6,11.2,28.1
Peru,2000,,,
Peru,2001,,,8.8
Peru,2002,,,2.6
Peru,2003,,,2.7
Peru,2004,,,-5.7
Peru,2005,,,4.3
Peru,2006,,,8.8
Peru,2007,,,-0.4
Peru,2008,,,-2.4
Peru,2009,,,2.3
Peru,2010,,,3.8
Peru,2011,,,7.5
Peru,2012,,,-0.9
Peru,2013,233.3,,6.3
Peru,2014,0,,2
Peru,2015,15,130.8,6.3
Peru,2016,4.3,76.7,2.2
Peru,2017,20.8,0.9,18.7
Peru,2018,158.6,40.2,8.1
Peru,2019,4,10,3.1
Peru,2020,1.3,9.7,-2.3
Peru,2021,1.3,0.6,4.3
Peru,2022,5,6,-5.7
Peru,2023,0,0,0
Peru,2024,13.1,8.3,7.7
Peru,2025,92.6,1,7.9
Philippines,2000,,,
Philippines,2001,,,-9.7
Philippines,2002,,,-1.5
Philippines,2003,,,2.4
